original_title;genre;director;actors;description;combined_features
Jailhouse Rock;Drama, Music, Musical;Richard Thorpe;Elvis Presley, Judy Tyler, Mickey Shaughnessy, Vaughn Taylor, Jennifer Holden, Dean Jones, Anne Neyland, Norm Johnson;After serving time for manslaughter, young Vince Everett becomes a teenage rock star.;Jailhouse Rock Drama, Music, Musical Richard Thorpe Elvis Presley, Judy Tyler, Mickey Shaughnessy, Vaughn Taylor, Jennifer Holden, Dean Jones, Anne Neyland, Norm Johnson After serving time for manslaughter, young Vince Everett becomes a teenage rock star.
Jamboree!;Musical;Roy Lockwood;Fats Domino, Jerry Lee Lewis, Jimmy Bowen, Buddy Knox, Charlie Gracie, Joe Williams, Jodie Sands, Frankie Avalon, Louis Lymon and the Teenchords, Slim Whitman, Carl Perkins, Andy Martin, Cauby Peixoto, Rocco and His Saints, Connie Francis;Pete Porter and Honey Wynn become overnight sensations as a romantic singing duo. But what will become of their budding love affair when their feuding, back-stabbing managers persuade them ...;Jamboree! Musical Roy Lockwood Fats Domino, Jerry Lee Lewis, Jimmy Bowen, Buddy Knox, Charlie Gracie, Joe Williams, Jodie Sands, Frankie Avalon, Louis Lymon and the Teenchords, Slim Whitman, Carl Perkins, Andy Martin, Cauby Peixoto, Rocco and His Saints, Connie Francis Pete Porter and Honey Wynn become overnight sensations as a romantic singing duo. But what will become of their budding love affair when their feuding, back-stabbing managers persuade them ...
Jeanne Eagels;Biography, Drama, Romance;George Sidney;Kim Novak, Jeff Chandler, Agnes Moorehead, Charles Drake, Larry Gates, Virginia Grey, Gene Lockhart, Joe De Santis, Murray Hamilton;The life of 1920s actress Jeanne Eagels.;Jeanne Eagels Biography, Drama, Romance George Sidney Kim Novak, Jeff Chandler, Agnes Moorehead, Charles Drake, Larry Gates, Virginia Grey, Gene Lockhart, Joe De Santis, Murray Hamilton The life of 1920s actress Jeanne Eagels.
Jet Pilot;Action, Drama, Romance;Josef von Sternberg;John Wayne, Janet Leigh, Jay C. Flippen, Paul Fix, Richard Rober, Roland Winters, Hans Conried, Ivan Triesault;Air Force Colonel Jim Shannon is tasked to escort a defecting Soviet pilot who is scheming to lure Shannon to the USSR.;Jet Pilot Action, Drama, Romance Josef von Sternberg John Wayne, Janet Leigh, Jay C. Flippen, Paul Fix, Richard Rober, Roland Winters, Hans Conried, Ivan Triesault Air Force Colonel Jim Shannon is tasked to escort a defecting Soviet pilot who is scheming to lure Shannon to the USSR.
Joe Butterfly;Comedy;Jesse Hibbs;Audie Murphy, George Nader, Keenan Wynn, Keiko Shima, John Agar, Charles McGraw, Fred Clark, Shinpei Shimazaki, Reiko Higa, Tatsuo Saitô, Chizu Shimazaki, Herbert Anderson, Eddie Firestone, Frank Chase, Harold Goodwin;American soldiers in occupied Tokyo get mixed up with a conniving black-marketeer.;Joe Butterfly Comedy Jesse Hibbs Audie Murphy, George Nader, Keenan Wynn, Keiko Shima, John Agar, Charles McGraw, Fred Clark, Shinpei Shimazaki, Reiko Higa, Tatsuo Saitô, Chizu Shimazaki, Herbert Anderson, Eddie Firestone, Frank Chase, Harold Goodwin American soldiers in occupied Tokyo get mixed up with a conniving black-marketeer.
Joe Dakota;Action, Adventure, Drama;Richard Bartlett;Jock Mahoney, Luana Patten, Charles McGraw, Barbara Lawrence, Claude Akins, Lee Van Cleef, Anthony Caruso, Paul Birch, George Dunn, Steve Darrell, Rita Lynn, Gregg Barton, Anthony Jochim, Jeane Wood, Juney Ellis;A stranger rides into town and says he is looking for a local Indian. Told he left town, the truth everyone has been hiding comes out including the stranger's true identity.;Joe Dakota Action, Adventure, Drama Richard Bartlett Jock Mahoney, Luana Patten, Charles McGraw, Barbara Lawrence, Claude Akins, Lee Van Cleef, Anthony Caruso, Paul Birch, George Dunn, Steve Darrell, Rita Lynn, Gregg Barton, Anthony Jochim, Jeane Wood, Juney Ellis A stranger rides into town and says he is looking for a local Indian. Told he left town, the truth everyone has been hiding comes out including the stranger's true identity.
Johnny Tremain;Adventure, Family, History;Robert Stevenson;Hal Stalmaster, Luana Patten, Jeff York, Sebastian Cabot, Richard Beymer, Rusty Lane, Walter Sande, Whit Bissell, Walter Coy, Will Wright, Virginia Christine, Ralph Clanton, Lumsden Hare, Gavin Gordon, Geoffrey Toone;Johnny Tremain is drawn into the Revolutionary War, and becomes a patriot fighting to free the colonies from England. Along the way he learns about life and about himself.;Johnny Tremain Adventure, Family, History Robert Stevenson Hal Stalmaster, Luana Patten, Jeff York, Sebastian Cabot, Richard Beymer, Rusty Lane, Walter Sande, Whit Bissell, Walter Coy, Will Wright, Virginia Christine, Ralph Clanton, Lumsden Hare, Gavin Gordon, Geoffrey Toone Johnny Tremain is drawn into the Revolutionary War, and becomes a patriot fighting to free the colonies from England. Along the way he learns about life and about himself.
Johnny Trouble;Drama, Romance;John H. Auer;Ethel Barrymore, Cecil Kellaway, Stuart Whitman, Carolyn Jones, Jesse White, Rand Harper, Paul Wallace, Edd Byrnes, Edward Castagna, Nino Tempo, James Bridges, Paul Lukather, James Bell, Samuel Colt, Kip King;Katherine Chandler lives in an apartment house that has been purchased by the local college for a boy's dormitory. She refuses to vacate, certain that her son, who was a wild boy and ...;Johnny Trouble Drama, Romance John H. Auer Ethel Barrymore, Cecil Kellaway, Stuart Whitman, Carolyn Jones, Jesse White, Rand Harper, Paul Wallace, Edd Byrnes, Edward Castagna, Nino Tempo, James Bridges, Paul Lukather, James Bell, Samuel Colt, Kip King Katherine Chandler lives in an apartment house that has been purchased by the local college for a boy's dormitory. She refuses to vacate, certain that her son, who was a wild boy and ...
The Joker Is Wild;Biography, Drama, Musical;Charles Vidor;Frank Sinatra, Mitzi Gaynor, Jeanne Crain, Eddie Albert, Beverly Garland, Jackie Coogan, Barry Kelley, Ted de Corsia, Leonard Graves, Valerie Allen, Hank Henry, Sophie Tucker, Ned Glass;Frank Sinatra plays Joe E. Lewis, a famous comedian of the 1930s-50s. When the movie opens, Lewis is a young, talented singer who performs in speakeasies. When he bolts one job for another,...;The Joker Is Wild Biography, Drama, Musical Charles Vidor Frank Sinatra, Mitzi Gaynor, Jeanne Crain, Eddie Albert, Beverly Garland, Jackie Coogan, Barry Kelley, Ted de Corsia, Leonard Graves, Valerie Allen, Hank Henry, Sophie Tucker, Ned Glass Frank Sinatra plays Joe E. Lewis, a famous comedian of the 1930s-50s. When the movie opens, Lewis is a young, talented singer who performs in speakeasies. When he bolts one job for another,...
Los jueves, milagro;Comedy, Fantasy;Luis García Berlanga;Richard Basehart, José Isbert, Paolo Stoppa, Juan Calvo, Alberto Romea, Félix Fernández, Manuel de Juan, Guadalupe Muñoz Sampedro, Manuel Alexandre, José Luis López Vázquez, Luigi Tosi, Nicolás D. Perchicot, Mariano Ozores, María Gámez, Julia Delgado Caro;"In the village of Fuentecilla, there is a medicinal spa which was very popular in the past but that now has been forgotten by the public. In order to bring back the tourists, the ""prominent...";"Los jueves, milagro Comedy, Fantasy Luis García Berlanga Richard Basehart, José Isbert, Paolo Stoppa, Juan Calvo, Alberto Romea, Félix Fernández, Manuel de Juan, Guadalupe Muñoz Sampedro, Manuel Alexandre, José Luis López Vázquez, Luigi Tosi, Nicolás D. Perchicot, Mariano Ozores, María Gámez, Julia Delgado Caro In the village of Fuentecilla, there is a medicinal spa which was very popular in the past but that now has been forgotten by the public. In order to bring back the tourists, the ""prominent..."
Just My Luck;Comedy;John Paddy Carstairs;Norman Wisdom, Margaret Rutherford, Jill Dixon, Leslie Phillips, Delphi Lawrence, Joan Sims, Edward Chapman, Peter Copley, Vic Wise, Marjorie Rhodes, Michael Ward, Marianne Stone, Felix Felton, Michael Brennan, Cyril Chamberlain;Norman Hackett (Norman Wisdom) works in a jewellers workshop and fantasises (in the nicest way) about meeting the window dresser across the road from his workshop. He wants to buy her a ...;Just My Luck Comedy John Paddy Carstairs Norman Wisdom, Margaret Rutherford, Jill Dixon, Leslie Phillips, Delphi Lawrence, Joan Sims, Edward Chapman, Peter Copley, Vic Wise, Marjorie Rhodes, Michael Ward, Marianne Stone, Felix Felton, Michael Brennan, Cyril Chamberlain Norman Hackett (Norman Wisdom) works in a jewellers workshop and fantasises (in the nicest way) about meeting the window dresser across the road from his workshop. He wants to buy her a ...
Kanal;Drama, War;Andrzej Wajda;Teresa Izewska, Tadeusz Janczar, Wienczyslaw Glinski, Tadeusz Gwiazdowski, Stanislaw Mikulski, Emil Karewicz, Vladek Sheybal, Teresa Berezowska, Zofia Lindorf, Janina Jablonowska, Maria Kretz, Jan Englert, Kazimierz Dejunowicz, Zdzislaw Lesniak, Maciej Maciejewski;In 1944, during the Warsaw uprising against the Nazis, Polish Lieutenant Zadra and his resistance fighters use Warsaw's sewer system to escape the German encirclement.;Kanal Drama, War Andrzej Wajda Teresa Izewska, Tadeusz Janczar, Wienczyslaw Glinski, Tadeusz Gwiazdowski, Stanislaw Mikulski, Emil Karewicz, Vladek Sheybal, Teresa Berezowska, Zofia Lindorf, Janina Jablonowska, Maria Kretz, Jan Englert, Kazimierz Dejunowicz, Zdzislaw Lesniak, Maciej Maciejewski In 1944, during the Warsaw uprising against the Nazis, Polish Lieutenant Zadra and his resistance fighters use Warsaw's sewer system to escape the German encirclement.
Kelly and Me;Comedy, Drama, Music;Robert Z. Leonard;Van Johnson, Piper Laurie, Martha Hyer, Onslow Stevens, Herbert Anderson, Douglas Fowley, Frank Wilcox, Dan Riss, Maurice Manson, Gregory Gaye, Yvonne Peattie, Elizabeth Flournoy, Lyle Latell;A failed vaudevillean finds a trained dog, who helps him succeed in early talking films.;Kelly and Me Comedy, Drama, Music Robert Z. Leonard Van Johnson, Piper Laurie, Martha Hyer, Onslow Stevens, Herbert Anderson, Douglas Fowley, Frank Wilcox, Dan Riss, Maurice Manson, Gregory Gaye, Yvonne Peattie, Elizabeth Flournoy, Lyle Latell A failed vaudevillean finds a trained dog, who helps him succeed in early talking films.
The Kettles on Old MacDonald's Farm;Comedy;Virgil W. Vogel;Marjorie Main, Parker Fennelly, Gloria Talbott, John Smith, George Dunn, Claude Akins, Roy Barcroft, Patricia Morrow, George Arglen;Ma and Pa do their bit to hook lumberman Brad Johnson up with spoiled socialite Sally Flemming. Ma teaches Sally how to behave like a hick so she'll be compatible with Brad.;The Kettles on Old MacDonald's Farm Comedy Virgil W. Vogel Marjorie Main, Parker Fennelly, Gloria Talbott, John Smith, George Dunn, Claude Akins, Roy Barcroft, Patricia Morrow, George Arglen Ma and Pa do their bit to hook lumberman Brad Johnson up with spoiled socialite Sally Flemming. Ma teaches Sally how to behave like a hick so she'll be compatible with Brad.
Kill Her Gently;Thriller;Charles Saunders;Marc Lawrence, George Mikell, Griffith Jones, John Gayford, Roger Avon, Maureen Connell, Shay Gorman, Marianne Brauns, Frank Hawkins, Patrick Connor, Jonathan Meddings, Peter Stephens, Susan Neill, David Lawton, Elaine Wells;Two convicts who have just escaped from prison are picked up by a motorist. He recognizes the men from descriptions given of them on the radio, but instead of turning them over to the ...;Kill Her Gently Thriller Charles Saunders Marc Lawrence, George Mikell, Griffith Jones, John Gayford, Roger Avon, Maureen Connell, Shay Gorman, Marianne Brauns, Frank Hawkins, Patrick Connor, Jonathan Meddings, Peter Stephens, Susan Neill, David Lawton, Elaine Wells Two convicts who have just escaped from prison are picked up by a motorist. He recognizes the men from descriptions given of them on the radio, but instead of turning them over to the ...
Kill Me Tomorrow;Crime, Drama;Terence Fisher;Pat O'Brien, Lois Maxwell, George Coulouris, Wensley Pithey, Freddie Mills, Ronald Adam, Robert Brown, Richard Pasco, April Olrich, Tommy Steele, Peter Swanwick, George Eugeniou, Al Mulock, Vic Wise, Stuart Nichol;A boozy old reporter finds his life is falling apart around him. He loses his wife and then his job. He is dragged back to reality when his son needs help. He goes to ask for his old job ...;Kill Me Tomorrow Crime, Drama Terence Fisher Pat O'Brien, Lois Maxwell, George Coulouris, Wensley Pithey, Freddie Mills, Ronald Adam, Robert Brown, Richard Pasco, April Olrich, Tommy Steele, Peter Swanwick, George Eugeniou, Al Mulock, Vic Wise, Stuart Nichol A boozy old reporter finds his life is falling apart around him. He loses his wife and then his job. He is dragged back to reality when his son needs help. He goes to ask for his old job ...
Kiss Them for Me;Comedy, Romance;Stanley Donen;Cary Grant, Jayne Mansfield, Leif Erickson, Suzy Parker, Ray Walston, Larry Blyden, Nathaniel Frey, Werner Klemperer, Jack Mullaney;In 1944, three Navy pilots stationed in Hawaii and a P.R. officer go on a 4-day leave to San Francisco where they party with a good crowd in the executive suite of a busy hotel.;Kiss Them for Me Comedy, Romance Stanley Donen Cary Grant, Jayne Mansfield, Leif Erickson, Suzy Parker, Ray Walston, Larry Blyden, Nathaniel Frey, Werner Klemperer, Jack Mullaney In 1944, three Navy pilots stationed in Hawaii and a P.R. officer go on a 4-day leave to San Francisco where they party with a good crowd in the executive suite of a busy hotel.
Konyok-Gorbunok;Animation, Adventure, Family;Aleksandra Snezhko-Blotskaya, Viktor Gromov;Georgi Chernovolenko, Alik Kachanov, Anatoliy Kubatskiy, Georgiy Millyar, Galina Novozhilova, Leonid Pirogov, Valentina Sperantova, Georgiy Vitsin, Nonna Yastrebova;Adventures of Ivan the Fool and humpbacked horse in the world of kind magical creatures and cruel people.;Konyok-Gorbunok Animation, Adventure, Family Aleksandra Snezhko-Blotskaya, Viktor Gromov Georgi Chernovolenko, Alik Kachanov, Anatoliy Kubatskiy, Georgiy Millyar, Galina Novozhilova, Leonid Pirogov, Valentina Sperantova, Georgiy Vitsin, Nonna Yastrebova Adventures of Ivan the Fool and humpbacked horse in the world of kind magical creatures and cruel people.
Kronos;Action, Drama, Horror;Kurt Neumann;Jeff Morrow, Barbara Lawrence, John Emery, George O'Hanlon, Morris Ankrum, Kenneth Alton, John Parrish, Jose Gonzales-Gonzales, Richard Harrison, Marjorie Stapp, Robert Shayne, Don Eitner, Gordon Mills, John Halloran;Aliens from another world send a huge robotic accumulator to invade the Earth and absorb all energy it comes in contact with.;Kronos Action, Drama, Horror Kurt Neumann Jeff Morrow, Barbara Lawrence, John Emery, George O'Hanlon, Morris Ankrum, Kenneth Alton, John Parrish, Jose Gonzales-Gonzales, Richard Harrison, Marjorie Stapp, Robert Shayne, Don Eitner, Gordon Mills, John Halloran Aliens from another world send a huge robotic accumulator to invade the Earth and absorb all energy it comes in contact with.
Kuchizuke;Drama, Romance;Yasuzô Masumura;Hiroshi Kawaguchi, Hitomi Nozoe, Aiko Mimasu, Eitarô Ozawa, Sachiko Murase, Saiko Mima, Kazuko Wakamatsu, Kaoru Shimizudani, Yosuke Irie, Ken Yamaguchi, Gai Harada, Toshiko Hashimoto, Naoyasu Itô, Kanji Kawahara, Koji Kosugi;Story of a young couple whose fathers are prison bound.;Kuchizuke Drama, Romance Yasuzô Masumura Hiroshi Kawaguchi, Hitomi Nozoe, Aiko Mimasu, Eitarô Ozawa, Sachiko Murase, Saiko Mima, Kazuko Wakamatsu, Kaoru Shimizudani, Yosuke Irie, Ken Yamaguchi, Gai Harada, Toshiko Hashimoto, Naoyasu Itô, Kanji Kawahara, Koji Kosugi Story of a young couple whose fathers are prison bound.
Kumonosu-jô;Drama, History;Akira Kurosawa;Toshirô Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa, Minoru Chiaki, Takamaru Sasaki, Gen Shimizu, Kokuten Kôdô, Kichijirô Ueda, Eiko Miyoshi, Chieko Naniwa, Nakajirô Tomita, Yû Fujiki, Sachio Sakai;A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.;Kumonosu-jô Drama, History Akira Kurosawa Toshirô Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa, Minoru Chiaki, Takamaru Sasaki, Gen Shimizu, Kokuten Kôdô, Kichijirô Ueda, Eiko Miyoshi, Chieko Naniwa, Nakajirô Tomita, Yû Fujiki, Sachio Sakai A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.
Kuriton sukupolvi;Comedy, Drama;Matti Kassila;Tauno Palo, Irma Seikkula, Maikki Länsiö, Kaija Siikala, Jussi Jurkka, Maija Karhi, Matti Ranin, Leo Jokela, Toivo Mäkelä, Pentti Irjala, Mauri Jaakkola, Pertti Weckström;Aging professor of mathematics completes his life's work, a research project that has taken him decades, and climbs up from the boiler room (his study) and back to real life. He can hardly ...;Kuriton sukupolvi Comedy, Drama Matti Kassila Tauno Palo, Irma Seikkula, Maikki Länsiö, Kaija Siikala, Jussi Jurkka, Maija Karhi, Matti Ranin, Leo Jokela, Toivo Mäkelä, Pentti Irjala, Mauri Jaakkola, Pertti Weckström Aging professor of mathematics completes his life's work, a research project that has taken him decades, and climbs up from the boiler room (his study) and back to real life. He can hardly ...
The Land Unknown;Adventure, Fantasy, Sci-Fi;Virgil W. Vogel;Jock Mahoney, Shirley Patterson, William Reynolds, Henry Brandon, Douglas Kennedy, Phil Harvey;Three men and a woman crash-land in a deep crater in Antarctica, where they find a prehistoric world.;The Land Unknown Adventure, Fantasy, Sci-Fi Virgil W. Vogel Jock Mahoney, Shirley Patterson, William Reynolds, Henry Brandon, Douglas Kennedy, Phil Harvey Three men and a woman crash-land in a deep crater in Antarctica, where they find a prehistoric world.
Last of the Badmen;Western;Paul Landres;George Montgomery, Keith Larsen, James Best, Douglas Kennedy, Robert Foulk, Tom Greenway, Willis Bouchey, Michael Ansara, Addison Richards, Meg Randall, John Doucette, John Damler, Harlan Warde;Chicago detectives in the 1880s head west to find the killers of their colleague.;Last of the Badmen Western Paul Landres George Montgomery, Keith Larsen, James Best, Douglas Kennedy, Robert Foulk, Tom Greenway, Willis Bouchey, Michael Ansara, Addison Richards, Meg Randall, John Doucette, John Damler, Harlan Warde Chicago detectives in the 1880s head west to find the killers of their colleague.
Legend of the Lost;Adventure, Drama;Henry Hathaway;John Wayne, Sophia Loren, Rossano Brazzi, Kurt Kasznar, Sonia Moser, Angela Portaluri, Ibrahim El Hadish;American ne'er-do-well Joe January is hired to take Paul Bonnard on an expedition into the desert in search of treasure.;Legend of the Lost Adventure, Drama Henry Hathaway John Wayne, Sophia Loren, Rossano Brazzi, Kurt Kasznar, Sonia Moser, Angela Portaluri, Ibrahim El Hadish American ne'er-do-well Joe January is hired to take Paul Bonnard on an expedition into the desert in search of treasure.
Les Girls;Comedy, Musical;George Cukor;Gene Kelly, Mitzi Gaynor, Kay Kendall, Taina Elg, Jacques Bergerac, Leslie Phillips, Henry Daniell, Patrick Macnee, Stephen Vercoe, Philip Tonge;The former members of a dance troupe are suing because of recently published memoirs. Each one insists on own point of view.;Les Girls Comedy, Musical George Cukor Gene Kelly, Mitzi Gaynor, Kay Kendall, Taina Elg, Jacques Bergerac, Leslie Phillips, Henry Daniell, Patrick Macnee, Stephen Vercoe, Philip Tonge The former members of a dance troupe are suing because of recently published memoirs. Each one insists on own point of view.
Let's Be Happy;Musical;Henry Levin;Vera-Ellen, Tony Martin, Robert Flemyng, Zena Marshall, Helen Horton, Beckett Bould, Alfred Burke, Vernon Greeves, Richard Molinas, Eugene Deckers, Russell Waters, Paul Young, Peter Sinclair, Magda Miller, Brian Oulton;An American salesman pursues an heiress from Vermont, who is in turn being wooed by a Scottish lord in financial need.;Let's Be Happy Musical Henry Levin Vera-Ellen, Tony Martin, Robert Flemyng, Zena Marshall, Helen Horton, Beckett Bould, Alfred Burke, Vernon Greeves, Richard Molinas, Eugene Deckers, Russell Waters, Paul Young, Peter Sinclair, Magda Miller, Brian Oulton An American salesman pursues an heiress from Vermont, who is in turn being wooed by a Scottish lord in financial need.
Letyat zhuravli;Drama, Romance, War;Mikhail Kalatozov;Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev, Aleksandr Shvorin, Svetlana Kharitonova, Konstantin Kadochnikov, Valentin Zubkov, Antonina Bogdanova, Boris Kokovkin, Ekaterina Kupriyanova, Valentina Ananina, Valentina Vladimirova, Olga Dzisko, Leonid Knyazev, Georgiy Kulikov;Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.;Letyat zhuravli Drama, Romance, War Mikhail Kalatozov Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev, Aleksandr Shvorin, Svetlana Kharitonova, Konstantin Kadochnikov, Valentin Zubkov, Antonina Bogdanova, Boris Kokovkin, Ekaterina Kupriyanova, Valentina Ananina, Valentina Vladimirova, Olga Dzisko, Leonid Knyazev, Georgiy Kulikov Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.
The Little Hut;Comedy, Romance;Mark Robson;Ava Gardner, Stewart Granger, David Niven, Walter Chiari, Finlay Currie, Jean Cadell, Jack Lambert, Henry Oscar, Viola Lyel, Jaron Yaltan, Richard Wattis;When shipwrecked on a deserted island, best friends Philip Ashlow and Henry Brittingham-Brett compete against each other for the affections of the only woman available, Philip Ashlow's neglected wife, Susan.;The Little Hut Comedy, Romance Mark Robson Ava Gardner, Stewart Granger, David Niven, Walter Chiari, Finlay Currie, Jean Cadell, Jack Lambert, Henry Oscar, Viola Lyel, Jaron Yaltan, Richard Wattis When shipwrecked on a deserted island, best friends Philip Ashlow and Henry Brittingham-Brett compete against each other for the affections of the only woman available, Philip Ashlow's neglected wife, Susan.
The Living Idol;Adventure, Drama, Horror;René Cardona, Albert Lewin;Steve Forrest, Liliane Montevecchi, James Robertson Justice, Sara García, Eduardo Noriega;Several mysterious deaths are attributed to an ancient stone idol.;The Living Idol Adventure, Drama, Horror René Cardona, Albert Lewin Steve Forrest, Liliane Montevecchi, James Robertson Justice, Sara García, Eduardo Noriega Several mysterious deaths are attributed to an ancient stone idol.
Lizzie;Drama;Hugo Haas;Eleanor Parker, Richard Boone, Joan Blondell, Hugo Haas, Ric Roman, Dorothy Arnold, John Reach, Marion Ross, Johnny Mathis;During the 1950s, a Los Angeles psychiatrist uses hypnosis to treat a 25 year old woman who's suffering from multiple personality disorder.;Lizzie Drama Hugo Haas Eleanor Parker, Richard Boone, Joan Blondell, Hugo Haas, Ric Roman, Dorothy Arnold, John Reach, Marion Ross, Johnny Mathis During the 1950s, a Los Angeles psychiatrist uses hypnosis to treat a 25 year old woman who's suffering from multiple personality disorder.
The Lonely Man;Drama, Western;Henry Levin;Jack Palance, Anthony Perkins, Neville Brand, Robert Middleton, Elisha Cook Jr., Claude Akins, Lee Van Cleef, Harry Shannon, James Bell, Adam Williams, Denver Pyle, John Doucette, Paul Newlan, Elaine Aiken, Tennessee Ernie Ford;Aging gunslinger Jacob Wade hopes to settle down with his estranged son, but his old enemies have other plans for him.;The Lonely Man Drama, Western Henry Levin Jack Palance, Anthony Perkins, Neville Brand, Robert Middleton, Elisha Cook Jr., Claude Akins, Lee Van Cleef, Harry Shannon, James Bell, Adam Williams, Denver Pyle, John Doucette, Paul Newlan, Elaine Aiken, Tennessee Ernie Ford Aging gunslinger Jacob Wade hopes to settle down with his estranged son, but his old enemies have other plans for him.
The Long Haul;Crime, Drama, Thriller;Ken Hughes;Victor Mature, Diana Dors, Patrick Allen, Gene Anderson, Peter Reynolds, Liam Redmond, John Welsh, Meier Tzelniker, Michael Wade, Dervis Ward, Murray Kash, John Harvey, Roland Brand, Stanley Rose, Raymond Barry;After leaving his U.S. Army job in Germany, a trucker takes a long-haul driver job in Britain where he runs into an organized-crime syndicate that controls the trucking industry.;The Long Haul Crime, Drama, Thriller Ken Hughes Victor Mature, Diana Dors, Patrick Allen, Gene Anderson, Peter Reynolds, Liam Redmond, John Welsh, Meier Tzelniker, Michael Wade, Dervis Ward, Murray Kash, John Harvey, Roland Brand, Stanley Rose, Raymond Barry After leaving his U.S. Army job in Germany, a trucker takes a long-haul driver job in Britain where he runs into an organized-crime syndicate that controls the trucking industry.
Looking for Danger;Comedy;Austen Jewell;Huntz Hall, Stanley Clements, Lili Kardell, David Gorcey, Jimmy Murphy, Richard Avonde, Eddie LeRoy, Otto Reichow, Michael Granger, Peter Mamakos, Dick Elliott, Joan Bradshaw, George Khoury, Henry Rowland, Harry Strang;When an army official wants Duke to account for a missing pot, Duke recalls how he and Sach ended up working as secret agents during World War II.;Looking for Danger Comedy Austen Jewell Huntz Hall, Stanley Clements, Lili Kardell, David Gorcey, Jimmy Murphy, Richard Avonde, Eddie LeRoy, Otto Reichow, Michael Granger, Peter Mamakos, Dick Elliott, Joan Bradshaw, George Khoury, Henry Rowland, Harry Strang When an army official wants Duke to account for a missing pot, Duke recalls how he and Sach ended up working as secret agents during World War II.
Love in the Afternoon;Comedy, Crime, Drama;Billy Wilder;Gary Cooper, Audrey Hepburn, Maurice Chevalier, John McGiver, Van Doude, Lise Bourdin, Olga Valéry, The Gypsies;A middle-aged playboy becomes fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.;Love in the Afternoon Comedy, Crime, Drama Billy Wilder Gary Cooper, Audrey Hepburn, Maurice Chevalier, John McGiver, Van Doude, Lise Bourdin, Olga Valéry, The Gypsies A middle-aged playboy becomes fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.
Loving You;Drama, Musical;Hal Kanter;Elvis Presley, Lizabeth Scott, Wendell Corey, James Gleason, Ralph Dumke, Paul Smith, Kenneth Becker, Jana Lund, Dolores Hart;A musician and a publicist help a delivery man achieve stardom.;Loving You Drama, Musical Hal Kanter Elvis Presley, Lizabeth Scott, Wendell Corey, James Gleason, Ralph Dumke, Paul Smith, Kenneth Becker, Jana Lund, Dolores Hart A musician and a publicist help a delivery man achieve stardom.
Lucky Jim;Comedy;John Boulting;John Welsh, Ronald Cardew, Hugh Griffith, Kenneth Griffith, Ian Carmichael, Jeremy Hawk, Penny Morrell, John Cairney, Maureen Connell, Reginald Beckwith, Jean Anderson, Ian Wilson, Sharon Acker, Terry-Thomas, Clive Morton;Jim Dixon feels anything but lucky. At the university he has to do the bidding of absent-minded and boring Professor Welch to have any hope of keeping his job. Worse, he has managed to get ...;Lucky Jim Comedy John Boulting John Welsh, Ronald Cardew, Hugh Griffith, Kenneth Griffith, Ian Carmichael, Jeremy Hawk, Penny Morrell, John Cairney, Maureen Connell, Reginald Beckwith, Jean Anderson, Ian Wilson, Sharon Acker, Terry-Thomas, Clive Morton Jim Dixon feels anything but lucky. At the university he has to do the bidding of absent-minded and boring Professor Welch to have any hope of keeping his job. Worse, he has managed to get ...
Madhumati;Fantasy, Musical, Mystery;Bimal Roy;Dilip Kumar, Vyjayanthimala, Johnny Walker, Pran, Jayant, Tiwari, Misra, Baij Sharma, Bhudo Advani, Jagdish, Sagar, Ranjit Sood, Shivji Bhai, Tarun Bose;A young man takes shelter in a mansion when a landslide blocks his route to the railway station. Then, he finds the mansion familiar and soon learns about the story of his previous birth.;Madhumati Fantasy, Musical, Mystery Bimal Roy Dilip Kumar, Vyjayanthimala, Johnny Walker, Pran, Jayant, Tiwari, Misra, Baij Sharma, Bhudo Advani, Jagdish, Sagar, Ranjit Sood, Shivji Bhai, Tarun Bose A young man takes shelter in a mansion when a landslide blocks his route to the railway station. Then, he finds the mansion familiar and soon learns about the story of his previous birth.
Maigret tend un piège;Crime, Drama;Jean Delannoy;Jean Gabin, Annie Girardot, Olivier Hussenot, Jeanne Boitel, Lucienne Bogaert, Jean Debucourt, Guy Decomble, Paulette Dubost, Jacques Hilling, Hubert de Lapparent, Jean-Louis Le Goff, Pierre-Louis, Gérard Séty, Jean Tissier, André Valmy;A serial killer is targeting women in the seedy district of Montmartre.;Maigret tend un piège Crime, Drama Jean Delannoy Jean Gabin, Annie Girardot, Olivier Hussenot, Jeanne Boitel, Lucienne Bogaert, Jean Debucourt, Guy Decomble, Paulette Dubost, Jacques Hilling, Hubert de Lapparent, Jean-Louis Le Goff, Pierre-Louis, Gérard Séty, Jean Tissier, André Valmy A serial killer is targeting women in the seedy district of Montmartre.
